ORIGID,CountyName,PopulationCensus16,TimeStamp,ConfirmedCovidCases
24,Westmeath,88770,2020/03/15  ,5
25,Wexford,149722,2020/03/15  ,0
26,Wicklow,142425,2020/03/15  ,6
1,Carlow,56932,2020/03/16  ,2
2,Cavan,76176,2020/03/16  ,2
3,Clare,118817,2020/03/16  ,5
4,Cork,542868,2020/03/16  ,48
5,Donegal,159192,2020/03/16  ,2
6,Dublin,1347359,2020/03/16  ,126
7,Galway,258058,2020/03/16  ,11
8,Kerry,147707,2020/03/16  ,6
9,Kildare,222504,2020/03/16  ,4
10,Kilkenny,99232,2020/03/16  ,4
11,Laois,84697,2020/03/16  ,0
12,Leitrim,32044,2020/03/16  ,0
13,Limerick,194899,2020/03/16  ,14
14,Longford,40873,2020/03/16  ,2
15,Louth,128884,2020/03/16  ,5
16,Mayo,130507,2020/03/16  ,1
17,Meath,195044,2020/03/16  ,5
18,Monaghan,61386,2020/03/16  ,0
19,Offaly,77961,2020/03/16  ,2
20,Roscommon,64544,2020/03/16  ,1
21,Sligo,65535,2020/03/16  ,2
22,Tipperary,159553,2020/03/16  ,2
23,Waterford,116176,2020/03/16  ,7
24,Westmeath,88770,2020/03/16  ,7
25,Wexford,149722,2020/03/16  ,1
26,Wicklow,142425,2020/03/16  ,9
1,Carlow,56932,2020/03/17  ,2
2,Cavan,76176,2020/03/17  ,2
3,Clare,118817,2020/03/17  ,5
4,Cork,542868,2020/03/17  ,62
5,Donegal,159192,2020/03/17  ,4
6,Dublin,1347359,2020/03/17  ,168
7,Galway,258058,2020/03/17  ,12
8,Kerry,147707,2020/03/17  ,6
9,Kildare,222504,2020/03/17  ,7
10,Kilkenny,99232,2020/03/17  ,5
11,Laois,84697,2020/03/17  ,4
12,Leitrim,32044,2020/03/17  ,1
13,Limerick,194899,2020/03/17  ,14
14,Longford,40873,2020/03/17  ,2
15,Louth,128884,2020/03/17  ,7
16,Mayo,130507,2020/03/17  ,1
17,Meath,195044,2020/03/17  ,7
18,Monaghan,61386,2020/03/17  ,0
19,Offaly,77961,2020/03/17  ,2
20,Roscommon,64544,2020/03/17  ,1
21,Sligo,65535,2020/03/17  ,4
22,Tipperary,159553,2020/03/17  ,3
23,Waterford,116176,2020/03/17  ,7
24,Westmeath,88770,2020/03/17  ,7
25,Wexford,149722,2020/03/17  ,1
26,Wicklow,142425,2020/03/17  ,13
1,Carlow,56932,2020/03/18  ,2
2,Cavan,76176,2020/03/18  ,2
3,Clare,118817,2020/03/18  ,7
4,Cork,542868,2020/03/18  ,66
5,Donegal,159192,2020/03/18  ,4
6,Dublin,1347359,2020/03/18  ,218
7,Galway,258058,2020/03/18  ,12
8,Kerry,147707,2020/03/18  ,7
9,Kildare,222504,2020/03/18  ,11
10,Kilkenny,99232,2020/03/18  ,7
11,Laois,84697,2020/03/18  ,5
12,Leitrim,32044,2020/03/18  ,1
13,Limerick,194899,2020/03/18  ,15
14,Longford,40873,2020/03/18  ,2
15,Louth,128884,2020/03/18  ,9
16,Mayo,130507,2020/03/18  ,1
17,Meath,195044,2020/03/18  ,10
18,Monaghan,61386,2020/03/18  ,0
19,Offaly,77961,2020/03/18  ,5
20,Roscommon,64544,2020/03/18  ,1
21,Sligo,65535,2020/03/18  ,4
22,Tipperary,159553,2020/03/18  ,6
23,Waterford,116176,2020/03/18  ,7
24,Westmeath,88770,2020/03/18  ,11
25,Wexford,149722,2020/03/18  ,2
26,Wicklow,142425,2020/03/18  ,16
1,Carlow,56932,2020/03/19  ,2
2,Cavan,76176,2020/03/19  ,2
3,Clare,118817,2020/03/19  ,7
4,Cork,542868,2020/03/19  ,88
5,Donegal,159192,2020/03/19  ,5
6,Dublin,1347359,2020/03/19  ,308
7,Galway,258058,2020/03/19  ,19
8,Kerry,147707,2020/03/19  ,8
9,Kildare,222504,2020/03/19  ,19
10,Kilkenny,99232,2020/03/19  ,11
11,Laois,84697,2020/03/19  ,5
12,Leitrim,32044,2020/03/19  ,1
13,Limerick,194899,2020/03/19  ,15
14,Longford,40873,2020/03/19  ,3
15,Louth,128884,2020/03/19  ,10
16,Mayo,130507,2020/03/19  ,1
17,Meath,195044,2020/03/19  ,10
18,Monaghan,61386,2020/03/19  ,0
19,Offaly,77961,2020/03/19  ,7
20,Roscommon,64544,2020/03/19  ,1
21,Sligo,65535,2020/03/19  ,4
22,Tipperary,159553,2020/03/19  ,6
23,Waterford,116176,2020/03/19  ,8
24,Westmeath,88770,2020/03/19  ,13
25,Wexford,149722,2020/03/19  ,2
26,Wicklow,142425,2020/03/19  ,18
1,Carlow,56932,2020/03/20  ,2
2,Cavan,76176,2020/03/20  ,4
3,Clare,118817,2020/03/20  ,7
4,Cork,542868,2020/03/20  ,102
5,Donegal,159192,2020/03/20  ,5
6,Dublin,1347359,2020/03/20  ,390
7,Galway,258058,2020/03/20  ,23
8,Kerry,147707,2020/03/20  ,9
9,Kildare,222504,2020/03/20  ,22
10,Kilkenny,99232,2020/03/20  ,11
11,Laois,84697,2020/03/20  ,6
12,Leitrim,32044,2020/03/20  ,1
13,Limerick,194899,2020/03/20  ,15
14,Longford,40873,2020/03/20  ,3
15,Louth,128884,2020/03/20  ,12
16,Mayo,130507,2020/03/20  ,3
17,Meath,195044,2020/03/20  ,11
18,Monaghan,61386,2020/03/20  ,2
19,Offaly,77961,2020/03/20  ,9
20,Roscommon,64544,2020/03/20  ,1
21,Sligo,65535,2020/03/20  ,5
22,Tipperary,159553,2020/03/20  ,8
23,Waterford,116176,2020/03/20  ,9
